#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
61        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	66        	ok              	2.1333670000e-02	2.0281882320e+03	2.2156720799e+17	7.6185722650e+16	4.2663089527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
